Joan_var,Pere_var,Marta_var,Claudia_var,Marc_var,Maria_var
1109.03,1631.03,1591.57,1842.37,2428.03,2039.07
1109.03,1631.03,1591.57,1842.37,2428.03,2039.07
1109.03,1631.03,1591.57,1842.37,2428.03,2039.07
1109.03,1647.34,1591.57,1842.37,2428.03,2039.07
1109.03,1647.34,1591.57,1860.79,2428.03,2039.07
1109.03,1647.34,1591.57,1860.79,2428.03,2039.07
1109.03,1647.34,1591.57,1860.79,2428.03,2059.46
1109.03,1647.34,1591.57,1860.79,2428.03,2059.46
1120.12,1647.34,1591.57,1860.79,2452.31,2059.46
1120.12,1647.34,1591.57,1860.79,2452.31,2059.46
1120.12,1647.34,1591.57,1860.79,2452.31,2059.46
1120.12,1647.34,1591.57,1860.79,2452.31,2059.46
1120.12,1647.34,1607.48,1860.79,2452.31,2059.46
1120.12,1647.34,1607.48,1860.79,2452.31,2059.46
1120.12,1647.34,1607.48,1860.79,2452.31,2059.46
1120.12,1663.81,1607.48,1860.79,2452.31,2059.46
1120.12,1663.81,1607.48,1879.4,2452.31,2059.46
1120.12,1663.81,1607.48,1879.4,2452.31,2059.46
1120.12,1663.81,1607.48,1879.4,2452.31,2080.05
1120.12,1663.81,1607.48,1879.4,2452.31,2080.05
1131.32,1663.81,1607.48,1879.4,2476.83,2080.05
1131.32,1663.81,1607.48,1879.4,2476.83,2080.05
1131.32,1663.81,1607.48,1879.4,2476.83,2080.05
1131.32,1663.81,1607.48,1879.4,2476.83,2080.05
1131.32,1663.81,1623.56,1879.4,2476.83,2080.05
1131.32,1663.81,1623.56,1879.4,2476.83,2080.05
1131.32,1663.81,1623.56,1879.4,2476.83,2080.05
1131.32,1680.45,1623.56,1879.4,2476.83,2080.05
1131.32,1680.45,1623.56,1898.19,2476.83,2080.05
1131.32,1680.45,1623.56,1898.19,2476.83,2080.05
1131.32,1680.45,1623.56,1898.19,2476.83,2100.85
1131.32,1680.45,1623.56,1898.19,2476.83,2100.85
1142.63,1680.45,1623.56,1898.19,2501.6,2100.85
1142.63,1680.45,1623.56,1898.19,2501.6,2100.85
1142.63,1680.45,1623.56,1898.19,2501.6,2100.85
1142.63,1680.45,1623.56,1898.19,2501.6,2100.85
1142.63,1680.45,1639.79,1898.19,2501.6,2100.85
1142.63,1680.45,1639.79,1898.19,2501.6,2100.85
1142.63,1680.45,1639.79,1898.19,2501.6,2100.85
1142.63,1697.25,1639.79,1898.19,2501.6,2100.85
1142.63,1697.25,1639.79,1917.17,2501.6,2100.85
1142.63,1697.25,1639.79,1917.17,2501.6,2100.85
1142.63,1697.25,1639.79,1917.17,2501.6,2121.86
1142.63,1697.25,1639.79,1917.17,2501.6,2121.86
1154.06,1697.25,1639.79,1917.17,2526.62,2121.86
1154.06,1697.25,1639.79,1917.17,2526.62,2121.86
1154.06,1697.25,1639.79,1917.17,2526.62,2121.86
1154.06,1697.25,1639.79,1917.17,2526.62,2121.86
1154.06,1697.25,1656.19,1917.17,2526.62,2121.86
1154.06,1697.25,1656.19,1917.17,2526.62,2121.86
1154.06,1697.25,1656.19,1917.17,2526.62,2121.86
1154.06,1714.22,1656.19,1917.17,2526.62,2121.86
1154.06,1714.22,1656.19,1936.35,2526.62,2121.86
1154.06,1714.22,1656.19,1936.35,2526.62,2121.86
1154.06,1714.22,1656.19,1936.35,2526.62,2143.08
1154.06,1714.22,1656.19,1936.35,2526.62,2143.08
1165.6,1714.22,1656.19,1936.35,2551.88,2143.08
1165.6,1714.22,1656.19,1936.35,2551.88,2143.08
1165.6,1714.22,1656.19,1936.35,2551.88,2143.08
1165.6,1714.22,1656.19,1936.35,2551.88,2143.08
1165.6,1714.22,1672.75,1936.35,2551.88,2143.08
1165.6,1714.22,1672.75,1936.35,2551.88,2143.08
1165.6,1714.22,1672.75,1936.35,2551.88,2143.08
1165.6,1731.37,1672.75,1936.35,2551.88,2143.08
1165.6,1731.37,1672.75,1955.71,2551.88,2143.08
1165.6,1731.37,1672.75,1955.71,2551.88,2143.08
1165.6,1731.37,1672.75,1955.71,2551.88,2164.51
1165.6,1731.37,1672.75,1955.71,2551.88,2164.51
1177.26,1731.37,1672.75,1955.71,2577.4,2164.51
1177.26,1731.37,1672.75,1955.71,2577.4,2164.51
1177.26,1731.37,1672.75,1955.71,2577.4,2164.51
1177.26,1731.37,1672.75,1955.71,2577.4,2164.51
1177.26,1731.37,1689.48,1955.71,2577.4,2164.51
1177.26,1731.37,1689.48,1955.71,2577.4,2164.51
1177.26,1731.37,1689.48,1955.71,2577.4,2164.51
1177.26,1748.68,1689.48,1955.71,2577.4,2164.51
1177.26,1748.68,1689.48,1975.27,2577.4,2164.51
1177.26,1748.68,1689.48,1975.27,2577.4,2164.51
1177.26,1748.68,1689.48,1975.27,2577.4,2186.16
1177.26,1748.68,1689.48,1975.27,2577.4,2186.16
1189.03,1748.68,1689.48,1975.27,2603.18,2186.16
1189.03,1748.68,1689.48,1975.27,2603.18,2186.16
1189.03,1748.68,1689.48,1975.27,2603.18,2186.16
1189.03,1748.68,1689.48,1975.27,2603.18,2186.16
